hom_2_9 save_up%2:40:00:: save%2:40:03::
hom_821_10 visualise%2:36:00:: figure%1:07:00::
hom_825_13 become%2:42:01:: turn%2:38:13::
hom_828_18 tight%5:00:00:secure:03 tight%5:00:00:tense:01
hom_829_17 bar%1:06:02:: bar%1:06:04::
hom_833_11 fathead%1:18:00:: cuckoo%1:05:00::
hom_834_13 crown%1:10:01:: crown%2:42:00::
hom_835_19 strip%2:35:04:: pick%2:30:01::
hom_836_7 leak%2:30:00:: leak%2:30:04::
hom_838_10 call%2:32:13:: call%2:32:08::
hom_843_15 nut%1:06:00:: en%1:23:00::
hom_845_9 correct%3:00:00:: right%3:00:01::
hom_847_26 drop%2:34:00:: miss%2:31:00::
hom_848_14 plate%1:06:01:: plateful%1:23:00::
hom_851_8 sweep%2:35:03:: tangle%2:42:00::
hom_852_12 touch%2:35:00:: touch_on%2:30:01::
hom_854_10 run%2:38:13:: foot_race%1:11:00::
hom_855_5 deepen%2:30:02:: change%1:19:00::
hom_857_15 shoot%2:33:00:: shot%1:06:03::
hom_858_6 digital%3:00:00:: digital%3:01:01::
hom_860_8 sweet%4:02:00:: fresh%5:00:00:unsoured:00
hom_863_5 radioactive_dust%1:27:00:: side_effect%1:19:00::
hom_864_25 root%1:14:00:: solvent%1:10:00::
hom_866_26 clean%2:30:01:: pick%2:40:01::
hom_868_16 charmed%5:00:00:enchanted:00 enamor%2:37:00::
hom_870_15 overload%2:30:00:: choked%5:00:00:obstructed:00
hom_871_10 pack%2:35:02:: bundle%2:35:00::
hom_872_9 track%1:06:04:: track%1:06:02::
hom_873_10 spent%3:00:00:: spend%2:40:00::
hom_876_9 plug%2:30:03:: plug%2:35:00::
hom_877_9 extirpate%2:35:00:: root_out%2:36:00::
hom_878_10 chemistry%1:09:00:: chemistry%1:27:00::
hom_881_11 track%1:06:05:: traverse%2:38:00::
hom_886_12 put_to_work%2:41:00:: operate%2:35:03::
hom_890_5 tire%2:37:01:: weary%2:29:01::
hom_891_9 scramble%2:38:01:: throw_together%2:35:01::
hom_897_15 bind%2:35:06:: stick%2:35:04::
hom_898_6 bird%1:05:00:: shuttle%1:06:02::
hom_901_10 glowing%5:00:00:enthusiastic:00 glow%2:37:01::
hom_903_7 expand%2:30:01:: flourishing%5:00:00:successful:00
hom_906_4 plant%2:35:00:: plant_life%1:03:00::
hom_907_13 ear%1:08:00:: pinna%1:08:00::
hom_908_19 shoot%2:32:05:: shoot%2:34:00::
hom_910_8 drone_on%2:32:00:: drone%2:39:00::
hom_911_15 garnishee%2:40:00:: garnish%2:36:00::
hom_912_9 press_out%2:35:09:: expressage%1:04:00::
hom_914_7 rare%5:00:00:uncommon:00 rare%5:00:00:scarce:00
hom_915_16 law-abiding%5:00:00:lawful:00 observant%5:00:00:perceptive:00
hom_916_8 ground%2:35:11:: ground%2:35:02::
hom_917_15 burn%2:30:02:: fire%2:30:00::
hom_918_17 dry%2:30:00:: dry%5:00:00:alcoholic:00
hom_920_11 outburst%1:10:00:: blowup%1:11:00::
hom_923_6 go_forth%2:30:00:: issue%1:09:01::
hom_924_10 cut_down%2:30:00:: cut%2:35:14::
hom_925_10 dock%2:38:00:: dock%2:40:00::
hom_929_13 barmy%5:00:00:insane:00 haywire%1:06:00::
hom_934_10 spirit%1:07:03:: spirit%1:18:00::
hom_937_22 coordination_compound%1:27:00:: complex%1:09:00::
hom_938_8 split%2:30:01:: split%1:04:01::
hom_939_6 outer_space%1:15:00:: space%1:28:00::
hom_940_22 ball%1:08:00:: ball%1:25:00::
hom_941_28 variety%1:07:01:: change%1:24:00::
hom_942_10 stroke%2:33:00:: stroke%1:10:01::
hom_943_9 leaf%1:20:00:: thumb%2:39:10::
hom_945_14 stacked%3:44:00:: stack%2:35:06::
hom_946_12 driving%5:00:00:energetic:00 drive%2:32:00::
hom_949_17 knock%2:32:02:: knock%2:39:00::
hom_954_13 describe%2:35:00:: telephone_line%1:06:00::
hom_956_8 jump%2:38:11:: leap%1:07:00::
hom_958_15 toast%1:18:01:: pledge%1:13:00::
hom_959_15 frank%2:32:00:: frank%1:18:00::
hom_960_13 spin%2:36:01:: spin%2:35:00::
hom_962_16 control%2:35:00:: run%2:41:02::
hom_964_13 guide%2:38:00:: behavior%1:07:00::
hom_968_1 jump%2:38:07:: jumping%1:04:00::
hom_969_14 manipulate%2:41:01:: cook%2:36:01::
hom_970_8 worn_out%5:00:00:tired:00 exhaust%2:34:00::
hom_971_6 sign%2:32:02:: sign%1:24:00::
hom_972_8 trail%2:38:00:: trail%1:09:00::
hom_973_7 beadlike%5:00:00:bright:00 jewelled%5:00:00:adorned:00
hom_974_8 downward-sloping%5:00:00:descending:00 downhill%1:11:00::
hom_976_13 pull%2:38:13:: pulling%1:04:00::
hom_977_11 stand%2:42:02:: stand%1:04:01::
hom_979_18 dirty%5:00:00:nasty:00 stinking%5:00:00:bad:00
hom_981_13 stupefy%2:30:00:: stunning%5:00:00:disorienting:00
hom_984_21 interlace%2:35:01:: lock%2:35:01::
hom_985_11 sign%1:10:01:: ratify%2:41:00::
hom_987_10 calfskin%1:27:00:: calf%1:08:00::
hom_990_11 plant%1:18:00:: plant%2:35:06::
hom_992_21 poacher%1:06:00:: poacher%1:18:00::
hom_993_19 reservation%1:15:00:: reservation%1:09:01::
hom_994_11 rung%1:06:01:: stave%2:40:00::
hom_995_17 calf%1:27:00:: calf%1:05:00::
hom_996_16 give%2:32:00:: throw%2:38:03::
hom_998_19 kid%2:32:01:: banter%2:32:00::
hom_1002_11 point%1:23:01:: point%1:15:00::
hom_1004_12 stalk%2:38:03:: stalking%1:04:01::
hom_1006_11 faculty%1:09:00:: staff%1:14:00::
hom_1007_15 look%2:42:02:: look%2:39:01::
hom_1008_8 knockout%1:04:00:: lulu%1:18:00::
hom_1010_9 reflective%5:00:00:intellectual:00 reflective%5:00:00:thoughtful:00
hom_1013_5 tap%2:38:01:: wiretap%1:04:00::
hom_1014_17 drift%2:30:10:: drift%2:42:03::
hom_1015_13 strain%2:29:00:: form%1:14:02::
hom_1016_18 sentence%1:10:00:: conviction%1:04:00::
hom_1017_15 picket%1:14:00:: picket%1:06:00::
hom_1018_7 turn%2:30:09:: turn%2:38:00::
hom_1020_7 take_in%2:35:04:: occupy%2:31:00::
hom_1023_5 nether_region%1:09:00:: colliery%1:06:00::
hom_1024_12 connexion%1:25:00:: connexion%1:04:01::
hom_1025_8 give%2:36:00:: deliver%2:40:01::
hom_1028_20 make%2:42:12:: make%2:42:15::
hom_1030_8 state_of_matter%1:26:00:: put_forward%2:32:00::
hom_1031_11 circulation%1:23:00:: circulation%1:19:00::
hom_1032_11 poop%1:06:00:: grim%5:00:00:implacable:00
hom_1034_16 dark%5:00:00:inactive:03 benighted%5:00:00:unenlightened:00
hom_1035_11 buzz%1:04:00:: buzz%1:11:00::
hom_1036_13 project%2:36:08:: project%2:39:01::
hom_1037_7 arrest%2:35:00:: knock_off%2:40:00::
hom_1039_9 go_off%2:33:00:: open_fire%2:33:00::
hom_1040_8 develop%2:33:03:: develop%2:31:00::
hom_1042_7 informative%3:00:02:: illuminate%2:36:00::
hom_1043_10 counter%1:06:06:: comeback%1:10:00::
hom_1044_12 take%2:38:00:: hit%2:35:01::
hom_1045_12 profits%1:21:01:: net%1:06:02::
hom_1049_7 legend%1:10:01:: caption%1:10:00::
hom_1050_8 love%1:12:00:: love%1:04:00::
hom_1052_18 crop%1:14:00:: crop%1:06:00::
hom_1053_2 come%2:42:13:: come%2:30:01::
hom_1054_4 turf%1:15:01:: turf%1:15:02::
hom_1056_43 appear%2:39:00:: wait%2:31:00::
hom_1057_9 yen%2:37:00:: pine%1:20:00::
hom_1058_9 delivery%1:04:02:: bringing%1:04:00::
hom_1060_15 sentence%1:10:00:: conviction%1:04:00::
hom_1061_13 spectacle%1:06:00:: spectacle%1:10:00::
hom_1062_9 drug_withdrawal%1:04:00:: withdrawal%1:04:04::
hom_1063_13 read%2:31:09:: take%2:33:08::
hom_1065_14 play%2:41:12:: wager%2:33:00::
hom_1066_15 break%2:30:12:: break%2:41:10::
hom_1067_16 help%2:34:00:: process%2:35:00::
hom_1071_18 received%3:00:04:: standard%1:21:00::
hom_1072_17 harden%2:30:03:: season%2:30:00::
hom_1073_17 loudness%1:07:00:: volume%1:23:00::
hom_1074_12 glom%2:40:00:: aquiline%5:00:00:crooked:01
hom_1078_8 monumental%5:00:00:significant:00 monumental%3:01:00::
hom_1079_13 grain%1:07:02:: grain%1:17:00::
hom_1082_12 core%1:17:00:: core%1:06:02::
hom_1084_12 space%1:25:00:: space%1:10:00::
hom_1085_10 aviate%2:38:00:: fly%2:30:01::
hom_1086_7 place%2:31:13:: put%2:35:05::
hom_1090_18 rage%1:26:01:: rage%2:42:01::
hom_1091_1 honor%2:41:00:: honour%1:26:00::
hom_1092_12 heart%1:06:00:: bosom%1:09:00::
hom_1093_12 circulation%1:23:01:: circulation%1:19:00::
hom_1100_13 snag%1:25:00:: hitch%1:09:00::
hom_1101_21 bloomer%1:20:00:: bungle%1:04:00::
hom_1102_13 jetty%1:06:00:: counterspy%1:18:00::
hom_1103_8 walk%2:33:00:: walk%2:38:00::
hom_1107_22 rest_period%1:28:00:: relief%1:11:00::
hom_1109_4 itch%2:37:00:: itch%2:39:02::
hom_1111_3 overleap%2:31:00:: lack%2:42:00::
hom_1114_5 foundation%1:24:00:: grounding%1:09:00::
hom_1116_16 tooth_decay%1:22:00:: enclosed_space%1:25:00::
hom_1117_7 numb%5:00:00:insensitive:02 dead%5:00:00:inactive:03
hom_1119_44 ripe%3:00:00:: mature%2:30:03::
hom_1122_14 hive%2:35:00:: beehive%1:06:00::
hom_1123_18 hard%3:00:03:: hard%4:02:06::
hom_1124_10 balance%1:26:00:: counterbalance%1:25:00::
hom_1126_6 calfskin%1:27:00:: calf%1:05:00::
hom_1130_14 drill%2:31:03:: practice%1:04:02::
hom_1132_12 antecedent%1:18:00:: root%2:42:00::
hom_1133_10 current%3:00:00:: stream%1:11:00::
hom_1135_12 pool%1:21:00:: kitty%1:21:00::
hom_1136_16 concentration%1:04:02:: absorption%1:09:01::
hom_1139_14 developed%5:00:00:industrial:00 develop%2:36:00::
hom_1140_25 fracture%1:17:00:: flaw%1:26:00::
hom_1143_2 consign%2:40:00:: aerated%5:00:00:effervescent:00
hom_1144_26 shelve%2:42:00:: table%1:14:01::
hom_1147_10 draw%2:30:00:: pull_back%2:35:01::
hom_1148_18 float%2:31:00:: plasterer's_float%1:06:00::
hom_1151_20 aggregate%1:27:00:: aggregate%2:42:00::
hom_1153_10 environ%2:35:00:: band%1:06:03::
hom_1154_5 device%1:04:00:: device%1:06:02::
hom_1155_10 evolve%2:30:00:: evolve%2:36:00::
hom_1156_8 reception%1:04:00:: reception%1:14:00::
hom_1158_9 lay%2:36:00:: position%2:35:00::
hom_1160_16 liquidation%1:04:02:: elimination%1:04:02::
hom_1161_13 reservation%1:09:01:: reservation%1:09:00::
hom_1162_8 lumber%1:27:00:: baseball_bat%1:06:00::
hom_1164_24 pan%1:06:00:: pan%2:38:00::
hom_1165_9 downhill%1:17:00:: downhill%4:02:01::
hom_1166_4 nurse%2:41:03:: nurse%2:29:00::
hom_1168_14 pull_the_leg_of%2:32:00:: kid%2:32:00::
hom_1171_21 battering%1:04:00:: batter%2:35:00::
hom_1172_3 salivate%2:37:00:: drool%2:29:00::
hom_1173_8 striving%1:04:00:: sieve%2:35:00::
hom_1174_9 hunger%1:07:00:: thirstiness%1:26:00::
hom_1175_13 tune%2:30:01:: tune%2:30:00::
hom_1179_7 weighing_machine%1:06:00:: scale%1:20:00::
hom_1181_19 bust%1:06:00:: bust%1:04:00::
hom_1182_18 fit%2:30:01:: fit%1:07:00::
hom_1184_18 iron_heel%1:06:00:: boot%1:06:01::
hom_1185_8 recuperate%2:29:00:: recover%2:40:01::
hom_1186_14 hit%1:11:01:: rack_up%2:33:01::
hom_1190_11 plenteous%5:00:00:abundant:00 rich%3:00:00::
hom_1191_15 bar%1:06:07:: bar%1:06:02::
hom_1192_9 bewitch%2:37:00:: spellbind%2:29:00::
hom_1194_16 straight%3:00:05:: straight%3:00:03::
hom_1195_13 domain%1:14:00:: humankind%1:05:00::
hom_1198_10 hold%1:06:03:: cargo_deck%1:06:00::
hom_1200_7 bankroll%1:21:00:: roll%1:04:03::
hom_1201_6 beckon%2:32:00:: wave%2:35:00::
hom_1209_18 object%1:09:00:: target%1:15:00::
hom_1211_5 charge%2:35:02:: load%2:35:10::
hom_1213_18 sup%1:13:00:: swallow%2:32:01::
hom_1214_9 plectron%1:06:00:: woof%1:06:00::
hom_1215_14 patch%1:07:00:: piece%1:28:00::
hom_1217_9 set_back%2:42:01:: shelve%2:35:10::
hom_1219_13 gallus_gallus%1:05:02:: chicken%1:11:00::
hom_1224_17 spin%2:35:00:: spin%2:38:02::
hom_1225_21 grass%2:34:00:: grass_over%2:35:00::
hom_1227_6 take%2:30:09:: guide%2:38:00::
hom_1229_12 hush%1:07:00:: still%3:00:03::
hom_1232_16 drive%2:38:01:: tug%2:41:00::
hom_1234_12 execute%2:41:04:: run%1:07:00::
hom_1236_14 sound%2:30:00:: bottom%2:31:00::
hom_1238_5 sweat%1:19:00:: elbow_grease%1:04:00::
hom_1239_12 sum%1:14:01:: total%1:09:00::
hom_1241_4 bypass%1:08:00:: bypass%1:06:01::
hom_1245_4 remains%1:17:00:: clay%1:08:00::
hom_1246_7 vegetate%2:30:00:: vegetate%2:30:04::
hom_1247_8 neat%5:00:00:elegant:00 refine%2:30:05::
hom_1248_13 manila%1:27:00:: capital_of_the_philippines%1:15:00::
hom_1249_8 hurl%1:04:00:: mold%1:25:00::
hom_1251_18 turn%2:38:06:: round%1:28:00::
hom_1257_11 engage%2:41:12:: betroth%2:32:00::
hom_1260_27 picnic%1:04:00:: girth%2:35:00::
hom_1262_11 strain%1:14:01:: straining%1:04:01::
hom_1267_16 direction%1:10:01:: direction%1:24:00::
hom_1268_10 milk_river%1:17:00:: milk%1:13:01::
hom_1269_11 underworld%1:14:00:: hades%1:09:00::
hom_1270_9 wrap_up%2:35:00:: wrap%2:35:03::
hom_1271_11 separate%2:31:00:: classified%3:00:01::
hom_1274_12 make%2:29:06:: make%2:36:04::
hom_1275_20 carry%2:38:03:: channel%1:04:00::
hom_1276_7 group%2:33:00:: group%1:09:00::
hom_1277_6 submit%2:31:12:: contract%2:29:00::
hom_1278_16 enclosed_space%1:25:00:: caries%1:22:00::
hom_1279_18 het%5:00:00:hot:01 heat%2:30:00::
hom_1281_7 draw%2:36:07:: draw%2:30:00::
hom_1282_9 unstring%2:35:00:: unstrung%5:00:00:discomposed:00
hom_1283_15 common_cold%1:26:00:: cold%5:00:00:unconscious:00
hom_1284_6 jerk%2:29:00:: jerk%1:28:00::
hom_1287_16 combination%1:14:00:: combination%1:14:01::
hom_1291_6 rant%2:32:00:: rave%1:11:00::
hom_1292_15 go%2:42:10:: go%2:42:08::
hom_1294_13 stir_up%2:37:00:: hot_up%2:30:02::
hom_1295_8 bust%2:30:00:: bust%2:35:02::
hom_1296_12 highlight%1:07:00:: highlight%2:30:00::
hom_1298_3 seethe%2:37:00:: boil%2:30:01::
hom_1300_10 doom%2:32:00:: sentence%1:10:00::
hom_1301_13 impact%1:04:00:: impact%2:35:01::
hom_1302_14 stick%2:36:03:: adhere%2:42:02::
hom_1304_11 commission%2:41:02:: perpetration%1:04:00::
hom_1305_8 interest%1:07:01:: interest%2:37:00::
hom_1308_8 change%2:30:04:: change%1:04:00::
hom_1309_25 fly%2:35:01:: rainfly%1:06:00::
hom_1310_8 skeletal_system%1:08:00:: skeleton%1:11:00::
hom_1311_10 sway%2:38:00:: rock%2:38:06::
hom_1312_6 flop%1:11:00:: flop%2:38:01::
hom_1314_14 break%2:32:07:: better%2:33:00::
hom_1315_7 course_credit%1:04:00:: credit%1:10:01::
hom_1317_15 developed%3:00:00:: modernize%2:30:02::
hom_1320_7 file%1:10:00:: charge%2:32:00::
hom_1323_9 mind%1:09:04:: judgement%1:04:00::
hom_1326_16 bowel%1:08:00:: gut%2:35:01::
hom_1327_18 lead%1:25:00:: lead%1:04:00::
hom_1329_8 save%2:30:00:: economy%1:04:00::
hom_1331_17 ring%1:06:02:: anchor_ring%1:25:00::
hom_1332_18 connection%1:24:00:: connection%1:26:00::
hom_1334_10 move%2:37:00:: yarn-dye%2:30:00::
hom_1336_9 oppose%2:41:00:: respond%2:31:00::
hom_1339_17 tag%2:35:00:: mark%1:10:05::
hom_1340_7 draw%2:36:02:: draw%2:30:15::
hom_1342_12 recourse%1:04:00:: repair%1:15:00::
hom_1343_12 swot_up%2:31:00:: ram%2:35:03::
hom_1344_10 express%2:32:09:: express%2:35:11::
hom_1345_16 connexion%1:06:00:: connection%1:26:00::
hom_1348_13 lie%2:35:00:: lie%2:32:00::
hom_1349_12 place%2:33:03:: head%2:38:01::
hom_1351_10 undertake%2:32:01:: guarantee%2:32:01::
hom_1352_7 tire%2:37:01:: drilling%1:04:01::
hom_1355_4 hot%5:00:00:active:01 hot%3:00:02::
hom_1356_15 school-age_child%1:18:00:: student%1:18:00::
hom_1357_9 ax%2:35:00:: axe%1:06:00::
hom_1358_9 prevail%2:42:00:: go%2:30:02::
hom_1359_26 serve%2:41:02:: serve%1:04:00::
hom_1363_10 drip%2:35:10:: filter%2:38:00::
hom_1366_12 stir%2:35:04:: stir%1:04:00::
hom_1367_16 network%1:14:00:: web%1:17:00::
hom_1368_13 comfy%3:00:00:: comfortable%5:00:00:sufficient:00
hom_1369_2 nail%2:40:00:: cop%2:35:00::
hom_1372_10 render%2:30:04:: essay%2:41:00::
hom_1373_9 rib%1:13:00:: rib%1:08:01::
hom_1374_14 dive%1:06:01:: dive%1:04:01::
hom_1377_12 drift%2:42:03:: drift%1:17:00::
hom_1379_8 keep%2:32:00:: keep%2:40:01::
hom_1381_14 pullulate%2:30:00:: dash%2:38:00::
hom_1382_12 fabrication%1:04:03:: lie%2:42:00::
hom_1383_15 rattle%2:39:00:: rattle%2:38:00::
hom_1384_12 brush%1:06:01:: thicket%1:14:00::
hom_1387_20 shake%1:13:00:: shake%2:38:01::
hom_1389_8 astronomical%3:01:00:: astronomic%5:00:00:large:00
hom_1391_7 culture%2:30:00:: cultured%5:00:00:refined:01
hom_1393_9 gong%1:06:01:: chime%2:39:00::
hom_1394_8 break_in%2:41:00:: break%2:42:05::
hom_1395_12 graduated_table%1:24:00:: scale%1:05:00::
hom_1396_10 straining%1:04:01:: strain%1:26:00::
hom_1397_6 dramatic%5:00:00:impressive:00 strike%2:35:08::
hom_1400_19 strike%2:35:02:: strike%2:33:00::
hom_1401_13 console%1:06:01:: console%1:06:02::
hom_1403_10 figure%1:06:00:: figure%1:07:00::
hom_1404_15 flap%1:06:01:: flap%1:08:00::
hom_1407_4 run%2:36:02:: run%2:42:00::
hom_1408_13 sentence%1:10:00:: judgment_of_conviction%1:04:00::
hom_1410_9 taste%1:11:00:: appreciation%1:09:01::
hom_1412_19 gravitate%2:38:00:: gravitate%2:42:01::
hom_1414_16 manifold%2:30:01:: multiply%2:31:00::
hom_1416_20 fall%2:41:15:: fall%2:42:00::
hom_1417_10 interest_group%1:14:00:: interest%1:07:02::
hom_1419_10 brush%1:04:03:: brush%2:35:01::
hom_1421_13 state%2:32:00:: province%1:15:00::
hom_1423_15 template%1:09:00:: point%2:38:05::
hom_1424_20 campaign%2:41:10:: push%1:19:00::
hom_1426_8 loop%2:36:00:: loop-the-loop%1:04:00::
hom_1427_3 radiate%2:30:00:: radiate%2:43:00::
hom_1428_8 puncher%1:06:00:: punch%2:35:00::
hom_1429_26 single%3:00:05:: single%3:00:00::
hom_1431_10 fall%2:38:03:: fall%1:11:01::
hom_1432_10 attraction%1:19:00:: attracter%1:09:00::
hom_1433_10 measure%1:10:02:: measure%1:04:01::
hom_1435_17 advanced%5:00:00:late:02 advance%2:38:04::
hom_1436_9 shuffle%2:38:00:: make%1:04:00::
hom_1437_15 drive%2:41:02:: drive%2:33:00::
hom_1439_11 level%5:00:02:even:01 storey%1:06:00::
hom_1441_9 obscure%2:30:02:: conceal%2:39:01::
hom_1442_14 harp%2:36:00:: dwell%2:32:00::
hom_1449_20 distribute%2:40:00:: deal%2:41:09::
hom_1450_9 discharge%2:33:00:: fire%2:33:02::
hom_1452_15 deepness%1:07:01:: depth%1:26:00::
hom_1453_3 overboard%4:02:01:: overboard%4:02:00::
hom_1458_1 stamp%2:30:00:: tender%1:21:00::
hom_1462_18 pocket%1:21:00:: pocket%1:25:02::
hom_1463_17 concrete%2:35:00:: concrete%1:27:00::
hom_1465_17 fogged%5:00:00:opaque:00 logy%5:00:00:lethargic:00
hom_1466_23 mold%1:06:00:: cast%1:06:02::
hom_1469_4 date%2:31:00:: date%2:31:01::
hom_1470_5 tip%2:38:00:: tip%2:35:04::
hom_1471_11 fold%2:35:04:: fold%2:30:00::
hom_1473_13 will%2:40:00:: will%1:10:00::
hom_1477_15 tack%1:04:00:: tack%2:35:05::
hom_1479_22 diagram%2:36:00:: plot%2:31:00::
hom_1483_12 mope%2:37:00:: mop%2:35:01::
hom_1485_15 time%1:28:01:: time%2:30:00::
hom_1486_5 forthright%5:00:01:direct:02 candid%5:00:00:unstudied:00
hom_1488_18 lead%2:38:01:: pass%2:42:08::
hom_1492_14 run%2:40:06:: run%2:35:04::
hom_1495_23 grow%2:30:10:: develop%2:30:00::
hom_1496_16 cast%1:07:00:: configuration%1:07:00::
hom_1497_12 return%1:04:04:: return%2:41:00::
hom_1499_9 yet%4:02:03:: still%4:02:01::
hom_1501_12 animated%5:00:00:moving:03 inspire%2:37:00::
hom_1502_7 window%1:06:01:: window%1:17:00::
hom_1503_4 draw%2:35:03:: suck_up%2:35:00::
hom_1504_10 function%1:14:00:: office%1:04:01::
hom_1505_22 party%1:14:01:: company%1:14:06::
hom_1507_15 hitch%2:38:00:: preventative%1:06:03::
hom_1508_15 put_option%1:04:00:: place%2:40:03::
hom_1509_7 roll%2:35:00:: enfold%2:35:00::
hom_1510_7 rough%5:00:00:unpolished:00 unsmooth%3:00:00::
hom_1513_6 atmospheric_state%1:26:00:: atmosphere%1:17:00::
hom_1514_5 deep%3:00:01:: deep%5:00:00:artful:00
hom_1516_14 move%2:37:01:: move%2:40:00::
hom_1517_14 chip%2:35:02:: chip%2:35:04::
hom_1518_18 fill%1:27:00:: filling%1:06:01::
hom_1519_10 contact%2:35:03:: mite%1:23:00::
hom_1520_7 duck_soup%1:04:00:: breeze%2:43:00::
hom_1521_9 suspend%2:41:00:: suspend%2:42:00::
hom_1523_14 keystone%1:06:00:: key%1:06:00::
hom_1527_18 collect%4:02:00:: gather%2:35:00::
hom_1532_14 rich%5:00:02:productive:00 rich%3:00:04::
hom_1534_17 pump%2:38:00:: pump%2:40:00::
hom_1535_10 cleanly%5:00:00:clean:01 cleanly%4:02:00::
hom_1537_9 odds%1:07:00:: betting_odds%1:24:00::
hom_1538_6 umbrella%1:04:00:: umbrella%1:04:01::
hom_1539_10 disconnect%2:35:00:: disconnected%5:00:00:staccato:00
hom_1540_15 uncover%2:39:00:: let_out%2:32:00::
hom_1541_12 partial%3:00:01:: overtone%1:09:00::
hom_1542_9 turn%1:28:00:: turn%2:38:02::
hom_1543_14 carrying_out%1:04:00:: execution_of_instrument%1:10:00::
hom_1545_17 cull%2:35:00:: break_up%2:35:03::
hom_1547_10 expire%2:29:00:: conk%2:30:00::
hom_1549_14 strike%2:37:00:: strike%2:35:03::
hom_1553_11 scratch%1:07:01:: starting_line%1:15:00::
hom_1555_11 break%2:29:10:: break%2:38:01::
hom_1556_7 foil%2:41:00:: foil%2:35:00::
hom_1557_6 storm%2:43:00:: force%2:35:03::
hom_1558_9 stroke%2:33:01:: stroke%1:11:02::
hom_1559_10 tally%1:04:00:: count%2:31:00::
hom_1560_7 high%1:07:00:: highschool%1:14:00::
hom_1561_16 column%1:14:01:: pillar%1:06:01::
hom_1563_12 temple%1:06:01:: temple%1:06:00::
hom_1564_14 floor%1:17:01:: flooring%1:06:00::
hom_1565_9 unstring%2:35:00:: unstrung%5:00:00:discomposed:00
hom_1567_13 stride%2:38:03:: stride%2:38:00::
hom_1569_9 fork%1:04:00:: fork%1:06:00::
hom_1570_11 recover%2:40:01:: reclaim%2:40:03::
hom_1573_6 dry%1:18:00:: dry%2:30:01::
hom_1574_15 grave%1:28:00:: grave%2:35:01::
hom_1578_10 darkness%1:26:00:: dark%5:00:00:unenlightened:00
hom_1579_16 pay_off%2:33:00:: have%2:29:05::
hom_1585_13 primer%1:06:01:: ground%1:06:01::
hom_1587_9 dope%1:06:00:: weed%1:20:00::
hom_1588_16 slice%1:26:00:: cut%2:42:00::
hom_1589_13 unknot%2:35:00:: ravel_out%2:35:00::
hom_1590_20 charge%2:30:00:: charge%2:37:05::
hom_1591_7 dim%5:00:00:indistinct:00 weak%5:00:00:perceptible:00
hom_1592_11 fold%2:30:00:: turn_up%2:35:00::
hom_1593_4 quarter%1:23:04:: quarter%1:28:02::
hom_1596_10 tote_up%2:32:00:: minimal_brain_dysfunction%1:26:00::
hom_1602_20 short%3:00:01:: short%3:00:02::
hom_1605_15 make_love%2:35:00:: screw%1:04:00::
hom_1607_10 accidental%1:10:00:: inadvertent%5:00:00:unintended:00
hom_1608_11 chain_of_mountains%1:17:00:: chain%1:14:02::
hom_1609_16 stiff%5:00:00:immobile:00 stiff%1:08:00::
hom_1610_11 coaster%1:18:00:: coaster%1:18:01::
hom_1614_12 premiss%2:31:00:: premise%2:32:00::
hom_1615_7 make%2:31:12:: make%2:36:00::
hom_1616_7 wandering%5:00:00:indirect:00 straggling%5:00:00:untidy:00
hom_1617_15 bend%2:38:03:: stoop%2:38:05::
hom_1618_13 vision%1:11:00:: vision%1:09:03::
hom_1620_11 calm_down%2:37:00:: still%3:00:03::
hom_1622_7 swagger%2:29:00:: bluster%2:43:00::
hom_1624_9 disjoint%2:35:01:: disjointed%5:00:00:divided:00
hom_1625_14 make-up%1:11:00:: war_paint%1:06:02::
hom_1627_10 free%2:41:01:: loose%2:41:00::
hom_1628_10 hold_on%2:30:05:: full_stop%1:10:00::
hom_1632_15 gag%2:35:00:: strangle%2:29:03::
hom_1635_11 point%1:09:01:: signal%2:32:01::
hom_1636_11 cleaver%1:06:00:: chopper%1:08:00::
hom_1637_15 mouse%1:06:00:: mouse%1:18:00::
hom_1638_12 go%2:33:00:: move%2:38:02::
hom_1642_6 hearing%1:04:00:: hearing%1:10:00::
hom_1645_11 caper%1:04:00:: caper%1:13:00::
hom_1646_7 latitude%1:07:02:: parallel_of_latitude%1:15:00::
hom_1647_10 circulation%1:23:01:: circulation%1:19:00::
hom_1648_11 light%3:00:06:: brightness_level%1:07:00::
hom_1650_6 grind%2:35:00:: cranch%2:35:00::
hom_1651_22 phase%2:36:00:: phase%1:26:00::
hom_1652_8 wallpaper%2:35:00:: composition%1:10:00::
hom_1653_13 light%5:00:00:light-duty:00 illumine%2:30:00::
hom_1655_6 tablet%1:06:02:: pad_of_paper%1:27:00::
hom_1657_9 layer%1:05:01:: layer%1:15:00::
hom_1658_10 spoil%2:30:01:: go_bad%2:30:00::
hom_1661_12 rush%1:12:00:: kick%2:35:01::
hom_1663_8 unwind%2:35:00:: wind_off%2:35:00::
hom_1666_5 separate%2:41:02:: start_out%2:38:00::
hom_1670_10 interest%1:21:00:: interest%1:07:02::
hom_1671_10 attach%2:35:01:: attach%2:35:00::
hom_1675_10 gyration%1:11:00:: revolution%1:11:01::
hom_1676_12 gong%1:06:01:: chime%2:39:00::
hom_1677_13 behind%5:00:00:down:00 hind_end%1:08:00::
hom_1678_1 beat%2:35:10:: beat%2:42:00::
hom_1680_9 heart%1:25:00:: center%1:09:00::
